date,vol_30d,vol_60d,vol_252d
2016-11-28 07:00:00,0.18124364611859858,0.25648162671494107,0.3117243860727065
2016-11-29 07:00:00,0.18487560340384712,0.25789400666133067,0.31104938916308167
2016-11-30 07:00:00,0.1844915327415644,0.2582103590845244,0.3093847468402255
2016-12-01 07:00:00,0.18462407089423383,0.25824092220879685,0.3087796298236138
2016-12-02 07:00:00,0.18475332807080394,0.23131230172778705,0.308775391130636
2016-12-05 07:00:00,0.18141464465851173,0.22277017793247814,0.3088629342045507
2016-12-06 07:00:00,0.18959743031567328,0.21244655173737034,0.30956711193794684
2016-12-07 07:00:00,0.18798995006255229,0.2108407228889359,0.30746231363235166
2016-12-08 07:00:00,0.17548489912654563,0.21238132068093796,0.30309444754382153
2016-12-09 07:00:00,0.175613688414299,0.20455786004378754,0.3003386522772666
2016-12-12 07:00:00,0.17441418330641642,0.18101316639114443,0.3003268654377469
2016-12-13 07:00:00,0.17879078130329926,0.17708659937083815,0.30070811678471027
2016-12-14 07:00:00,0.17813200315458014,0.17893819278463513,0.3008220393630956
2016-12-15 07:00:00,0.17636956543344162,0.17952054789571187,0.2985613394322139
2016-12-16 07:00:00,0.17655044466776126,0.17960427391051442,0.2984998165446514
2016-12-19 07:00:00,0.1432557390235126,0.1790016541098755,0.2982974525560216
2016-12-20 07:00:00,0.14278865451183778,0.16958991098220058,0.2909031536185708
2016-12-21 07:00:00,0.13964218273970136,0.16789561922357213,0.2892983151572239
2016-12-22 07:00:00,0.13466744348937565,0.16441859804919903,0.2893040020002009
2016-12-23 07:00:00,0.14765033011910697,0.17015698255528036,0.28993759235875827
2016-12-26 07:00:00,0.14893694386533707,0.17173816039575102,0.2901746562504119
2016-12-27 07:00:00,0.1491814804381997,0.17177161446813335,0.2901218584735477
2016-12-28 07:00:00,0.15253817526729907,0.17203430786621435,0.2903455253496072
2016-12-29 07:00:00,0.15270705814532712,0.17187442600909097,0.2883712173017818
2016-12-30 07:00:00,0.15240760308837348,0.17090458751343016,0.2883005118506426
2017-01-03 07:00:00,0.2100409731536498,0.19881035142295048,0.29235480793863106
2017-01-04 07:00:00,0.21047909267865714,0.19853441820932347,0.2919808324647099
2017-01-05 07:00:00,0.20949096381612622,0.19846266918979408,0.291508824718382
2017-01-06 07:00:00,0.21464286248769757,0.20204849463250335,0.2919379271574485
2017-01-09 07:00:00,0.22045754510949372,0.20628319681380425,0.2923547596157904
2017-01-10 07:00:00,0.22016779610945075,0.20184957496530184,0.2923861737093534
2017-01-11 07:00:00,0.21473008959905235,0.20184898219076164,0.2922755079815365
2017-01-12 07:00:00,0.22016664896255211,0.20373869545171142,0.29209334872679105
2017-01-13 07:00:00,0.2242213738199892,0.2053997955621712,0.2922042682664134
2017-01-16 07:00:00,0.22461298766304266,0.20548613477357924,0.2919477749419345
2017-01-17 07:00:00,0.24908899945970658,0.21937060163889754,0.2932603900880086
2017-01-18 07:00:00,0.24520856445669656,0.22145071354003126,0.2892330545311887
2017-01-19 07:00:00,0.24719245072455104,0.22027275445276728,0.28630544806435676
2017-01-20 07:00:00,0.24369583433721115,0.21290854168911216,0.2861803181602416
2017-01-23 07:00:00,0.24366286035430382,0.2129335044921901,0.2857237554079893
2017-01-24 07:00:00,0.2445763267939449,0.2134985732978018,0.2859530893980255
2017-01-25 07:00:00,0.24198259589544518,0.2160924481275059,0.28195122247415927
2017-02-02 07:00:00,0.24114446397715653,0.2136224853960853,0.2805851510250342
2017-02-03 07:00:00,0.250337727543037,0.21635657798384503,0.2812977686167695
2017-02-06 07:00:00,0.2505215454324926,0.21635657798384503,0.2812977686167695
2017-02-07 07:00:00,0.25245583422759205,0.20695052446358228,0.2808302506030695
2017-02-08 07:00:00,0.25207707782908856,0.20804957653351963,0.28046239418279945
2017-02-09 07:00:00,0.2522809320442359,0.20641603146637258,0.2803411194295635
2017-02-10 07:00:00,0.2550669320632077,0.2067103667070433,0.27975354108741346
2017-02-13 07:00:00,0.25438248868442587,0.20808583590568003,0.2799140897256594
2017-02-14 07:00:00,0.25305227831359395,0.20651743099306508,0.27995353814976953
2017-02-15 07:00:00,0.25301580240336197,0.20688313327014407,0.2799990020292673
2017-02-16 07:00:00,0.2526416792471975,0.20817908011545577,0.28021688317720433
2017-02-17 07:00:00,0.2537061728963087,0.20879687579379527,0.28004099843678637
