step,S,T_remaining,delta,gamma,theta,option_value,shares_held,cash,hedge_cost,portfolio_value,path
41,57.9262,0.0873,0.0896,0.093624,-0.005023,0.0709,0.0896,-5.3316,0.0013,-0.1402,0
42,57.9986,0.0833,0.0903,0.096274,-0.005165,0.07,0.0903,-5.374,0.0001,-0.1348,0
43,57.9651,0.0794,0.0809,0.090882,-0.00484,0.0599,0.0809,-4.8294,0.0012,-0.14,0
44,57.8633,0.0754,0.066,0.079976,-0.004209,0.0459,0.066,-3.9725,0.0019,-0.151,0
45,57.3305,0.0714,0.0289,0.042618,-0.002161,0.0171,0.0289,-1.8487,0.0048,-0.1917,0
46,57.0775,0.0675,0.0167,0.027662,-0.001376,0.0089,0.0167,-1.1516,0.0016,-0.2009,0
47,56.9194,0.0635,0.0104,0.01908,-0.000937,0.0051,0.0104,-0.7981,0.0008,-0.2045,0
48,57.3127,0.0595,0.0172,0.030165,-0.001506,0.0087,0.0172,-1.1876,0.0005,-0.2011,0
49,57.4473,0.0556,0.0179,0.032212,-0.001612,0.0088,0.0179,-1.2275,0.0,-0.199,0
50,56.8153,0.0516,0.0038,0.008685,-0.000418,0.0015,0.0038,-0.4284,0.0018,-0.2124,0
51,56.9416,0.0476,0.0036,0.008612,-0.000416,0.0014,0.0036,-0.4176,0.0,-0.212,0
52,56.8112,0.0437,0.0017,0.004631,-0.000221,0.0006,0.0017,-0.311,0.0002,-0.2128,0
53,56.576,0.0397,0.0005,0.001602,-7.5e-05,0.0002,0.0005,-0.2425,0.0002,-0.2134,0
54,56.8056,0.0357,0.0006,0.00182,-8.6e-05,0.0002,0.0006,-0.2451,0.0,-0.2133,0
55,57.1886,0.0317,0.001,0.003235,-0.000155,0.0003,0.001,-0.2697,0.0,-0.2132,0
56,57.5377,0.0278,0.0015,0.005186,-0.000251,0.0004,0.0015,-0.302,0.0,-0.2129,0
57,57.2403,0.0238,0.0002,0.000849,-4e-05,0.0,0.0002,-0.225,0.0002,-0.2136,0
58,57.1368,0.0198,0.0,0.000152,-7e-06,0.0,0.0,-0.2154,0.0,-0.2137,0
59,57.2664,0.0159,0.0,4.6e-05,-2e-06,0.0,0.0,-0.2141,0.0,-0.2137,0
60,57.6322,0.0119,0.0,3.3e-05,-2e-06,0.0,0.0,-0.214,0.0,-0.2138,0
61,57.4658,0.0079,0.0,0.0,-0.0,0.0,0.0,-0.2138,0.0,-0.2138,0
62,57.407,0.004,0.0,0.0,-0.0,0.0,0.0,-0.2138,0.0,-0.2138,0
63,57.0133,0.0,0.0,0.0,0.0,0.0,0.0,-0.2139,0.0,-0.2139,0
